DEBUG 2020-04-18 13:17:54,598 autoreload 17084 19904 File C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\Lib\site-packages\django\db\backends\sqlite3\introspection.py first seen with mtime 1578290776.028403
DEBUG 2020-04-18 13:17:54,598 autoreload 17084 19904 File C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\Lib\site-packages\django\contrib\contenttypes\forms.py first seen with mtime 1578290769.710572
DEBUG 2020-04-18 13:17:54,598 autoreload 17084 19904 File C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\Lib\site-packages\django\db\models\utils.py first seen with mtime 1578290776.0649338
DEBUG 2020-04-18 13:17:54,599 autoreload 17084 19904 File C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\Lib\textwrap.py first seen with mtime 1545601034.0
DEBUG 2020-04-18 13:17:54,599 autoreload 17084 19904 File C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\Lib\site-packages\django\core\signals.py first seen with mtime 1578290775.8857012
DEBUG 2020-04-18 13:17:54,599 autoreload 17084 19904 File C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\Lib\encodings\aliases.py first seen with mtime 1545601034.0
DEBUG 2020-04-18 13:17:54,599 autoreload 17084 19904 File C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\Lib\site-packages\django\core\checks\caches.py first seen with mtime 1578290775.897669
DEBUG 2020-04-18 13:17:54,599 autoreload 17084 19904 File C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\Lib\site-packages\django\core\handlers\base.py first seen with mtime 1578290775.9186945
DEBUG 2020-04-18 13:17:54,599 autoreload 17084 19904 File C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\Lib\site-packages\sqlparse\compat.py first seen with mtime 1557813279.808736
DEBUG 2020-04-18 13:17:54,599 autoreload 17084 19904 File C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\Lib\site-packages\django\contrib\messages\apps.py first seen with mtime 1578290772.8769908
DEBUG 2020-04-18 13:17:54,600 autoreload 17084 19904 File C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\Lib\site-packages\jinja2\__init__.py first seen with mtime 1510171115.0
DEBUG 2020-04-18 13:17:54,600 autoreload 17084 19904 File C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\Lib\site-packages\sqlparse\engine\filter_stack.py first seen with mtime 1557813279.8536167
DEBUG 2020-04-18 13:17:54,600 autoreload 17084 19904 File C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\Lib\multiprocessing\reduction.py first seen with mtime 1545601034.0
DEBUG 2020-04-18 13:17:54,600 autoreload 17084 19904 File C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\Lib\site-packages\django\contrib\admin\exceptions.py first seen with mtime 1578290766.4880736
DEBUG 2020-04-18 13:17:54,600 autoreload 17084 19904 File C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\Lib\site-packages\django\core\files\images.py first seen with mtime 1578290775.9106357
DEBUG 2020-04-18 13:17:54,600 autoreload 17084 19904 File C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\Lib\concurrent\futures\__init__.py first seen with mtime 1545601034.0
DEBUG 2020-04-18 13:17:54,601 autoreload 17084 19904 File C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\Lib\site-packages\django\db\backends\base\operations.py first seen with mtime 1578290775.980529
DEBUG 2020-04-18 13:17:54,601 autoreload 17084 19904 File C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\Lib\site-packages\django\template\backends\__init__.py first seen with mtime 1578290776.2045307
DEBUG 2020-04-18 13:17:54,601 autoreload 17084 19904 File C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\Lib\site-packages\django\conf\global_settings.py first seen with mtime 1578290766.1263323
DEBUG 2020-04-18 13:17:54,601 autoreload 17084 19904 File C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\Lib\site-packages\django\utils\translation\__init__.py first seen with mtime 1578290776.3880494
DEBUG 2020-04-18 13:17:54,601 autoreload 17084 19904 File C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\Lib\asyncio\tasks.py first seen with mtime 1545601034.0
DEBUG 2020-04-18 13:17:54,601 autoreload 17084 19904 File C:\Users\swsh\AppData\Local\Continuum\anaconda3\envs\py36\Lib\site-packages\django\contrib\sites\shortcuts.py first seen with mtime 1578290775.664912
